frame,dist_read,disk_write,rate
1,763444,66432,0.7634
2,541458,60678,0.5415
3,435517,58603,0.4355
4,380682,57213,0.3807
5,346170,56225,0.3462
6,322887,55452,0.3229
7,306676,54801,0.3067
8,293519,54327,0.2935
9,280204,53940,0.2802
10,264816,53662,0.2648
11,249338,53432,0.2493
12,236445,53183,0.2364
13,225902,52703,0.2259
14,215630,51953,0.2156
15,204541,50621,0.2045
16,191848,48350,0.1918
17,175988,44629,0.176
18,157879,39649,0.1579
19,141300,35079,0.1413
20,127577,31350,0.1276
21,116203,28306,0.1162
22,106178,25626,0.1062
23,97438,23183,0.0974
24,89297,21027,0.0893
25,82218,19013,0.0822
26,75996,17225,0.076
27,70719,15827,0.0707
28,66066,14559,0.0661
29,62413,13606,0.0624
30,58829,12694,0.0588
31,55678,11844,0.0557
32,53025,11140,0.053
33,50544,10602,0.0505
34,48484,10199,0.0485
35,46578,9766,0.0466
36,44755,9432,0.0448
37,43198,9162,0.0432
38,41568,8812,0.0416
39,40191,8577,0.0402
40,38826,8349,0.0388
41,37700,8156,0.0377
42,36534,8007,0.0365
43,35534,7858,0.0355
44,34502,7713,0.0345
45,33565,7546,0.0336
46,32618,7397,0.0326
47,31817,7286,0.0318
48,31017,7193,0.031
49,30230,7066,0.0302
50,29467,6956,0.0295
51,28814,6848,0.0288
52,28144,6727,0.0281
53,27544,6643,0.0275
54,26994,6548,0.027
55,26404,6438,0.0264
56,25911,6359,0.0259
57,25348,6282,0.0253
58,24827,6188,0.0248
59,24394,6130,0.0244
60,24064,6083,0.0241
61,23677,5999,0.0237
62,23325,5946,0.0233
63,22942,5893,0.0229
64,22611,5844,0.0226
65,22265,5788,0.0223
66,21943,5725,0.0219
67,21688,5669,0.0217
68,21430,5611,0.0214
69,21166,5587,0.0212
70,20952,5558,0.021
71,20724,5511,0.0207
72,20498,5471,0.0205
73,20298,5437,0.0203
74,20129,5420,0.0201
75,19949,5369,0.0199
76,19758,5353,0.0198
77,19609,5324,0.0196
78,19454,5301,0.0195
79,19315,5276,0.0193
80,19144,5234,0.0191
81,19030,5218,0.019
82,18922,5209,0.0189
83,18773,5174,0.0188
84,18706,5167,0.0187
85,18598,5153,0.0186
86,18493,5132,0.0185
87,18389,5097,0.0184
88,18337,5086,0.0183
89,18258,5058,0.0183
90,18164,5056,0.0182
91,18091,5026,0.0181
92,17973,4993,0.018
93,17852,4964,0.0179
94,17778,4942,0.0178
95,17676,4921,0.0177
96,17594,4916,0.0176
97,17465,4878,0.0175
98,17424,4858,0.0174
99,17293,4836,0.0173
100,17210,4820,0.0172
101,17143,4809,0.0171
102,17037,4767,0.017
103,16968,4756,0.017
104,16879,4736,0.0169
105,16850,4733,0.0169
106,16737,4696,0.0167
107,16627,4663,0.0166
108,16593,4666,0.0166
109,16580,4652,0.0166
110,16546,4656,0.0165
111,16506,4657,0.0165
112,16456,4655,0.0165
113,16313,4609,0.0163
114,16286,4603,0.0163
115,16237,4599,0.0162
116,16195,4596,0.0162
117,16168,4602,0.0162
118,16081,4558,0.0161
119,16030,4553,0.016
120,15980,4542,0.016
121,15974,4541,0.016
122,15930,4546,0.0159
123,15887,4530,0.0159
124,15791,4494,0.0158
125,15657,4467,0.0157
126,15552,4433,0.0156
127,15375,4386,0.0154
128,15275,4371,0.0153
129,15202,4359,0.0152
130,15103,4348,0.0151
131,14957,4314,0.015
132,14867,4292,0.0149
133,14823,4270,0.0148
134,14774,4257,0.0148
135,14680,4230,0.0147
136,14548,4217,0.0145
137,14457,4178,0.0145
138,14324,4138,0.0143
139,14173,4101,0.0142
140,14077,4094,0.0141
141,13962,4082,0.014
142,13838,4045,0.0138
143,13660,3997,0.0137
144,13611,3992,0.0136
145,13512,3969,0.0135
146,13367,3925,0.0134
147,13240,3915,0.0132
148,13061,3863,0.0131
149,12830,3792,0.0128
150,12681,3756,0.0127
151,12513,3723,0.0125
152,12488,3728,0.0125
153,12346,3676,0.0123
154,12314,3665,0.0123
155,12157,3641,0.0122
156,12019,3624,0.012
157,11843,3566,0.0118
158,11640,3512,0.0116
159,11585,3495,0.0116
160,11438,3455,0.0114
161,11392,3409,0.0114
162,11366,3398,0.0114
163,11142,3352,0.0111
164,11066,3339,0.0111
165,10963,3320,0.011
166,10850,3312,0.0109
167,10691,3271,0.0107
168,10645,3254,0.0106
169,10417,3202,0.0104
170,10405,3207,0.0104
171,10311,3172,0.0103
172,10279,3165,0.0103
173,10131,3107,0.0101
174,10017,3071,0.01
175,9919,3035,0.0099
176,9844,3004,0.0098
177,9717,2984,0.0097
178,9599,2977,0.0096
179,9518,2956,0.0095
180,9405,2923,0.0094
181,9291,2878,0.0093
182,9212,2872,0.0092
183,9113,2861,0.0091
184,9045,2836,0.009
185,8928,2803,0.0089
186,8813,2766,0.0088
187,8618,2707,0.0086
188,8581,2725,0.0086
189,8507,2671,0.0085
190,8465,2679,0.0085
191,8398,2641,0.0084
192,8367,2633,0.0084
193,8286,2637,0.0083
194,8227,2624,0.0082
195,8160,2603,0.0082
