frame,dist_read,disk_write,rate
1,763444,66432,0.7634
2,470679,60029,0.4707
3,391266,57689,0.3913
4,346936,56045,0.3469
5,326713,55058,0.3267
6,311005,54444,0.311
7,297320,53939,0.2973
8,285375,53614,0.2854
9,272487,53388,0.2725
10,257655,53212,0.2577
11,241668,53003,0.2417
12,225819,52445,0.2258
13,210371,51212,0.2104
14,195919,49476,0.1959
15,183158,47753,0.1832
16,171961,46293,0.172
17,160481,44203,0.1605
18,147425,40721,0.1474
19,131942,35733,0.1319
20,115939,29937,0.1159
21,101613,24893,0.1016
22,90373,21102,0.0904
23,82116,18536,0.0821
24,75882,16800,0.0759
25,70793,15395,0.0708
26,66238,14086,0.0662
27,62117,12925,0.0621
28,58425,11905,0.0584
29,55273,11084,0.0553
30,52625,10501,0.0526
31,50300,10038,0.0503
32,48254,9674,0.0483
33,46430,9373,0.0464
34,44665,9092,0.0447
35,43112,8857,0.0431
36,41613,8645,0.0416
37,40229,8456,0.0402
38,38895,8275,0.0389
39,37622,8067,0.0376
40,36485,7914,0.0365
41,35394,7766,0.0354
42,34368,7638,0.0344
43,33388,7506,0.0334
44,32482,7389,0.0325
45,31639,7285,0.0316
46,30827,7186,0.0308
47,30098,7077,0.0301
48,29383,6978,0.0294
49,28686,6865,0.0287
50,27981,6758,0.028
51,27344,6665,0.0273
52,26688,6562,0.0267
53,26088,6472,0.0261
54,25554,6377,0.0256
55,25013,6272,0.025
56,24555,6200,0.0246
57,24131,6134,0.0241
58,23693,6050,0.0237
59,23291,5984,0.0233
60,22933,5914,0.0229
61,22597,5853,0.0226
62,22271,5788,0.0223
63,21963,5739,0.022
64,21656,5687,0.0217
65,21373,5626,0.0214
66,21083,5569,0.0211
67,20824,5525,0.0208
68,20603,5484,0.0206
69,20385,5443,0.0204
70,20139,5405,0.0201
71,19921,5363,0.0199
72,19732,5327,0.0197
73,19534,5294,0.0195
74,19340,5266,0.0193
75,19172,5238,0.0192
76,19000,5211,0.019
77,18840,5185,0.0188
78,18714,5162,0.0187
79,18569,5127,0.0186
80,18410,5093,0.0184
81,18265,5069,0.0183
82,18130,5035,0.0181
83,18009,5005,0.018
84,17894,4986,0.0179
85,17776,4965,0.0178
86,17644,4938,0.0176
87,17517,4907,0.0175
88,17384,4873,0.0174
89,17254,4845,0.0173
90,17128,4810,0.0171
91,17003,4775,0.017
92,16871,4737,0.0169
93,16742,4704,0.0167
94,16611,4667,0.0166
95,16482,4629,0.0165
96,16356,4592,0.0164
97,16231,4548,0.0162
98,16137,4521,0.0161
99,16037,4493,0.016
100,15921,4464,0.0159
