frame,dist_read,disk_write,rate
1,763444,66432,0.7634
2,556990,60834,0.557
3,476155,58973,0.4762
4,428458,57841,0.4285
5,393887,56963,0.3939
6,366242,56310,0.3662
7,342664,55467,0.3427
8,320892,54350,0.3209
9,301713,53201,0.3017
10,283181,51656,0.2832
11,266394,49930,0.2664
12,250551,48209,0.2506
13,235599,46316,0.2356
14,220737,44262,0.2207
15,207830,42125,0.2078
16,194918,40080,0.1949
17,183970,37925,0.184
18,172032,35848,0.172
19,162817,34131,0.1628
20,153227,32417,0.1532
21,144559,30787,0.1446
22,135848,29162,0.1358
23,129096,27514,0.1291
24,122302,26223,0.1223
25,116285,24910,0.1163
26,110077,23668,0.1101
27,104750,22520,0.1047
28,100126,21625,0.1001
29,95299,20567,0.0953
30,90723,19645,0.0907
31,87435,18966,0.0874
32,83472,18182,0.0835
33,80191,17542,0.0802
34,76760,16793,0.0768
35,74040,16357,0.074
36,71611,15764,0.0716
37,68626,15259,0.0686
38,66667,14783,0.0667
39,64272,14202,0.0643
40,62444,13936,0.0624
41,60298,13474,0.0603
42,58389,13188,0.0584
43,56875,12791,0.0569
44,55155,12449,0.0552
45,53749,12067,0.0537
46,51794,11768,0.0518
47,50750,11533,0.0508
48,49245,11304,0.0492
49,48092,11013,0.0481
50,47045,10787,0.047
51,45725,10532,0.0457
52,45054,10369,0.0451
53,43957,10269,0.044
54,42813,9888,0.0428
55,41864,9790,0.0419
56,40848,9637,0.0408
57,40045,9338,0.04
58,39759,9369,0.0398
59,38729,9151,0.0387
60,37919,8993,0.0379
61,36965,8875,0.037
62,36836,8774,0.0368
63,36006,8581,0.036
64,35429,8496,0.0354
65,34974,8404,0.035
66,34121,8265,0.0341
67,33857,8248,0.0339
68,33186,8056,0.0332
69,32725,7912,0.0327
70,32019,7863,0.032
71,31727,7760,0.0317
72,31438,7733,0.0314
73,31064,7776,0.0311
74,30443,7528,0.0304
75,29924,7382,0.0299
76,29744,7394,0.0297
77,29288,7281,0.0293
78,28948,7246,0.0289
79,28751,7175,0.0288
80,28247,7080,0.0282
81,28064,7143,0.0281
82,27650,7066,0.0277
83,27224,6889,0.0272
84,27080,6818,0.0271
85,26711,6843,0.0267
86,26429,6751,0.0264
87,26253,6728,0.0263
88,25771,6623,0.0258
89,25545,6571,0.0255
90,25317,6483,0.0253
91,25035,6467,0.025
92,24745,6411,0.0247
93,24578,6349,0.0246
94,24341,6314,0.0243
95,23906,6254,0.0239
96,23857,6226,0.0239
97,23453,6175,0.0235
98,23303,6090,0.0233
99,23121,6077,0.0231
100,22863,6002,0.0229
101,22711,6002,0.0227
102,22471,6003,0.0225
103,22103,5866,0.0221
104,22085,5783,0.0221
105,21930,5849,0.0219
106,21724,5809,0.0217
107,21491,5725,0.0215
108,21317,5703,0.0213
109,21136,5717,0.0211
110,20919,5618,0.0209
111,20796,5561,0.0208
112,20554,5589,0.0206
113,20495,5541,0.0205
114,20380,5509,0.0204
115,19972,5425,0.02
116,19925,5446,0.0199
117,19879,5475,0.0199
118,19625,5386,0.0196
119,19368,5326,0.0194
120,19305,5321,0.0193
121,19295,5330,0.0193
122,19042,5188,0.019
123,19102,5233,0.0191
124,18779,5121,0.0188
125,18581,5123,0.0186
126,18522,5094,0.0185
127,18336,5047,0.0183
128,18095,4986,0.0181
129,18077,5056,0.0181
130,17899,4995,0.0179
131,17769,5017,0.0178
132,17630,4879,0.0176
133,17682,4941,0.0177
134,17368,4858,0.0174
135,17116,4865,0.0171
136,17116,4839,0.0171
137,17104,4805,0.0171
138,17002,4781,0.017
139,16767,4707,0.0168
140,16660,4674,0.0167
141,16565,4721,0.0166
142,16431,4680,0.0164
143,16313,4547,0.0163
144,16148,4603,0.0161
145,16410,4641,0.0164
146,15992,4551,0.016
147,15928,4587,0.0159
148,15699,4490,0.0157
149,15746,4461,0.0157
150,15476,4466,0.0155
151,15556,4502,0.0156
152,15502,4503,0.0155
153,15328,4421,0.0153
154,15227,4371,0.0152
155,15073,4373,0.0151
156,14940,4378,0.0149
157,14783,4299,0.0148
158,14652,4228,0.0147
159,14816,4335,0.0148
160,14750,4279,0.0147
161,14474,4221,0.0145
162,14590,4286,0.0146
163,14283,4185,0.0143
164,14303,4227,0.0143
165,14236,4187,0.0142
166,14115,4137,0.0141
167,14081,4140,0.0141
168,14016,4087,0.014
169,14041,4144,0.014
170,13743,4071,0.0137
171,13724,4063,0.0137
172,13543,3985,0.0135
173,13618,4055,0.0136
174,13441,4039,0.0134
175,13583,3984,0.0136
176,13511,3990,0.0135
177,13373,3926,0.0134
178,13215,3900,0.0132
179,13193,3918,0.0132
180,12943,3891,0.0129
181,12949,3865,0.0129
182,13051,3834,0.0131
183,12646,3757,0.0126
184,12590,3776,0.0126
185,12595,3780,0.0126
186,12645,3772,0.0126
187,12630,3777,0.0126
188,12605,3747,0.0126
189,12475,3740,0.0125
190,12253,3658,0.0123
191,12331,3740,0.0123
192,12160,3676,0.0122
193,12224,3697,0.0122
194,11971,3603,0.012
195,11963,3621,0.012
196,11928,3621,0.0119
197,11904,3629,0.0119
198,11984,3648,0.012
199,11758,3542,0.0118
200,11860,3593,0.0119
201,11618,3491,0.0116
202,11750,3593,0.0118
203,11649,3526,0.0116
204,11525,3521,0.0115
205,11522,3568,0.0115
206,11437,3557,0.0114
207,11532,3544,0.0115
208,11099,3434,0.0111
209,11338,3427,0.0113
210,11243,3435,0.0112
211,11241,3430,0.0112
212,11104,3442,0.0111
213,10907,3338,0.0109
214,11057,3382,0.0111
215,10949,3383,0.0109
216,10944,3349,0.0109
217,10913,3352,0.0109
218,10874,3378,0.0109
219,10783,3350,0.0108
220,10836,3345,0.0108
221,10696,3305,0.0107
222,10721,3323,0.0107
223,10562,3290,0.0106
224,10571,3268,0.0106
225,10461,3251,0.0105
226,10606,3271,0.0106
227,10358,3203,0.0104
228,10465,3264,0.0105
229,10377,3261,0.0104
230,10304,3224,0.0103
231,10221,3191,0.0102
232,10050,3172,0.01
233,10140,3117,0.0101
234,10261,3222,0.0103
235,10010,3144,0.01
236,10001,3111,0.01
237,9868,3058,0.0099
238,10062,3111,0.0101
239,9884,3114,0.0099
240,10018,3175,0.01
241,9894,3027,0.0099
242,9820,3125,0.0098
243,9750,3079,0.0097
244,9722,3072,0.0097
245,9776,3088,0.0098
246,9633,2985,0.0096
247,9498,2978,0.0095
248,9614,3002,0.0096
249,9538,2980,0.0095
250,9435,2936,0.0094
251,9426,2948,0.0094
252,9542,3036,0.0095
253,9405,2921,0.0094
254,9448,3000,0.0094
255,9482,3031,0.0095
256,9324,2916,0.0093
257,9294,2984,0.0093
258,9134,2873,0.0091
259,9128,2867,0.0091
260,9224,2939,0.0092
261,9197,2889,0.0092
262,9201,2893,0.0092
263,9066,2861,0.0091
264,9225,2909,0.0092
265,9079,2866,0.0091
266,9022,2871,0.009
267,8860,2847,0.0089
268,8894,2812,0.0089
269,8789,2802,0.0088
270,8870,2842,0.0089
271,8689,2810,0.0087
272,8821,2799,0.0088
273,8667,2764,0.0087
274,8627,2687,0.0086
275,8661,2758,0.0087
276,8638,2794,0.0086
277,8727,2759,0.0087
278,8639,2781,0.0086
279,8678,2749,0.0087
280,8570,2717,0.0086
281,8436,2704,0.0084
282,8503,2717,0.0085
283,8395,2687,0.0084
284,8502,2784,0.0085
285,8551,2748,0.0086
286,8502,2699,0.0085
287,8410,2689,0.0084
288,8244,2626,0.0082
289,8185,2595,0.0082
290,8373,2705,0.0084
291,8098,2596,0.0081
292,8249,2665,0.0082
293,8284,2688,0.0083
294,8203,2668,0.0082
295,8130,2645,0.0081
296,8117,2623,0.0081
297,8133,2628,0.0081
298,8205,2628,0.0082
299,8040,2606,0.008
300,8073,2674,0.0081
301,7952,2572,0.008
302,8032,2599,0.008
303,8037,2564,0.008
304,8046,2595,0.008
305,7934,2553,0.0079
306,7951,2560,0.008
307,7927,2527,0.0079
308,7820,2524,0.0078
309,7772,2514,0.0078
310,7844,2555,0.0078
311,7751,2509,0.0078
312,7822,2557,0.0078
313,7755,2559,0.0078
314,7755,2496,0.0078
315,7623,2445,0.0076
316,7664,2494,0.0077
317,7758,2482,0.0078
318,7643,2492,0.0076
319,7614,2488,0.0076
320,7690,2490,0.0077
321,7647,2486,0.0076
322,7536,2427,0.0075
323,7555,2483,0.0076
324,7531,2416,0.0075
325,7455,2423,0.0075
326,7491,2397,0.0075
327,7521,2475,0.0075
328,7349,2413,0.0073
329,7480,2435,0.0075
330,7512,2428,0.0075
331,7297,2404,0.0073
332,7369,2374,0.0074
333,7363,2404,0.0074
334,7356,2405,0.0074
335,7364,2407,0.0074
336,7306,2405,0.0073
337,7209,2318,0.0072
338,7184,2322,0.0072
339,7293,2372,0.0073
340,7201,2347,0.0072
341,7193,2347,0.0072
342,7190,2341,0.0072
343,7194,2328,0.0072
344,7142,2340,0.0071
345,7096,2320,0.0071
346,6973,2273,0.007
347,7076,2338,0.0071
348,7152,2355,0.0072
349,7050,2305,0.007
350,7016,2289,0.007
351,7012,2305,0.007
352,6961,2299,0.007
353,7058,2301,0.0071
354,6960,2326,0.007
355,6924,2307,0.0069
356,6882,2225,0.0069
357,6962,2263,0.007
358,6922,2269,0.0069
359,7002,2296,0.007
360,6866,2285,0.0069
361,6837,2250,0.0068
362,6829,2271,0.0068
363,6876,2263,0.0069
364,6654,2189,0.0067
365,6709,2241,0.0067
366,6683,2190,0.0067
367,6702,2217,0.0067
368,6778,2231,0.0068
369,6723,2211,0.0067
370,6743,2241,0.0067
371,6624,2194,0.0066
372,6665,2179,0.0067
373,6563,2160,0.0066
374,6621,2171,0.0066
375,6753,2233,0.0068
376,6512,2127,0.0065
377,6542,2150,0.0065
378,6594,2173,0.0066
379,6596,2150,0.0066
380,6501,2141,0.0065
381,6483,2157,0.0065
382,6673,2251,0.0067
383,6527,2147,0.0065
384,6545,2143,0.0065
385,6573,2174,0.0066
386,6402,2119,0.0064
387,6534,2117,0.0065
388,6383,2101,0.0064
389,6395,2110,0.0064
390,6417,2132,0.0064
391,6489,2078,0.0065
392,6479,2129,0.0065
393,6330,2070,0.0063
394,6475,2157,0.0065
395,6353,2069,0.0064
396,6372,2105,0.0064
397,6386,2120,0.0064
398,6406,2106,0.0064
399,6355,2090,0.0064
400,6295,2044,0.0063
401,6281,2038,0.0063
402,6233,2067,0.0062
403,6167,2017,0.0062
404,6195,2072,0.0062
405,6239,2037,0.0062
406,6247,2062,0.0062
407,6157,2022,0.0062
408,6126,2014,0.0061
409,6173,2022,0.0062
410,6101,2058,0.0061
411,6259,2082,0.0063
412,6182,1990,0.0062
413,6165,2052,0.0062
414,6101,2041,0.0061
415,6145,2057,0.0061
416,6085,2042,0.0061
417,6049,1993,0.006
418,6044,1988,0.006
419,6111,2017,0.0061
420,6101,2038,0.0061
421,5986,1986,0.006
422,6036,2005,0.006
423,6020,1979,0.006
424,5922,2016,0.0059
425,5936,2021,0.0059
426,5914,1952,0.0059
427,5999,2004,0.006
428,5949,1958,0.0059
429,5936,1986,0.0059
430,5903,1944,0.0059
431,5948,1974,0.0059
432,5949,1970,0.0059
433,5911,1958,0.0059
434,5772,1901,0.0058
435,5769,1910,0.0058
436,5914,1959,0.0059
437,5881,1918,0.0059
438,5790,1929,0.0058
439,5821,1916,0.0058
440,5924,1963,0.0059
441,5783,1892,0.0058
442,5668,1886,0.0057
443,5829,1967,0.0058
444,5814,1933,0.0058
445,5798,1969,0.0058
446,5770,1956,0.0058
447,5804,1936,0.0058
448,5829,1893,0.0058
449,5786,1926,0.0058
450,5744,1901,0.0057
451,5721,1926,0.0057
452,5681,1882,0.0057
453,5669,1898,0.0057
454,5770,1912,0.0058
455,5641,1869,0.0056
456,5615,1840,0.0056
457,5668,1882,0.0057
458,5723,1914,0.0057
459,5582,1875,0.0056
460,5685,1879,0.0057
461,5689,1949,0.0057
462,5537,1857,0.0055
463,5542,1837,0.0055
464,5576,1834,0.0056
465,5539,1832,0.0055
466,5553,1848,0.0056
467,5560,1842,0.0056
468,5467,1835,0.0055
469,5578,1880,0.0056
470,5571,1868,0.0056
471,5602,1827,0.0056
472,5528,1827,0.0055
473,5576,1833,0.0056
474,5523,1837,0.0055
475,5533,1818,0.0055
476,5399,1809,0.0054
477,5426,1779,0.0054
478,5563,1826,0.0056
479,5477,1822,0.0055
480,5391,1788,0.0054
481,5392,1778,0.0054
482,5429,1804,0.0054
483,5368,1772,0.0054
484,5424,1831,0.0054
485,5328,1776,0.0053
486,5500,1799,0.0055
487,5403,1793,0.0054
488,5452,1834,0.0055
489,5313,1751,0.0053
490,5350,1780,0.0053
491,5334,1765,0.0053
492,5368,1757,0.0054
493,5378,1788,0.0054
494,5423,1835,0.0054
495,5357,1775,0.0054
496,5315,1755,0.0053
497,5372,1804,0.0054
498,5393,1792,0.0054
499,5345,1787,0.0053
500,5249,1756,0.0052
501,5374,1775,0.0054
502,5163,1729,0.0052
503,5342,1780,0.0053
504,5287,1759,0.0053
505,5268,1755,0.0053
506,5220,1725,0.0052
507,5281,1732,0.0053
508,5236,1762,0.0052
509,5231,1725,0.0052
510,5230,1722,0.0052
511,5302,1769,0.0053
512,5128,1712,0.0051
513,5200,1728,0.0052
514,5082,1710,0.0051
515,5205,1709,0.0052
516,5153,1730,0.0052
517,5180,1709,0.0052
518,5167,1699,0.0052
519,5204,1722,0.0052
520,5137,1713,0.0051
521,5172,1691,0.0052
522,5218,1715,0.0052
523,5130,1705,0.0051
524,5129,1749,0.0051
525,5112,1680,0.0051
526,5028,1673,0.005
527,5133,1748,0.0051
528,5083,1714,0.0051
529,5099,1711,0.0051
530,5048,1697,0.005
531,5109,1711,0.0051
532,5021,1663,0.005
533,4995,1647,0.005
534,5056,1672,0.0051
535,5018,1699,0.005
536,4988,1690,0.005
537,5020,1674,0.005
538,5013,1683,0.005
539,5120,1718,0.0051
540,5090,1701,0.0051
541,5009,1678,0.005
542,4973,1684,0.005
543,5047,1658,0.005
544,4999,1661,0.005
545,4963,1610,0.005
546,4905,1630,0.0049
547,4907,1646,0.0049
548,4921,1622,0.0049
549,5016,1634,0.005
550,4869,1617,0.0049
551,4977,1670,0.005
552,4935,1662,0.0049
553,4879,1627,0.0049
554,4866,1607,0.0049
555,4911,1616,0.0049
556,4930,1630,0.0049
557,4904,1623,0.0049
558,4885,1615,0.0049
559,4938,1636,0.0049
560,4992,1686,0.005
561,4888,1674,0.0049
562,4897,1666,0.0049
563,4829,1615,0.0048
564,4919,1666,0.0049
565,4876,1593,0.0049
566,4893,1620,0.0049
567,4833,1607,0.0048
568,4780,1573,0.0048
569,4867,1597,0.0049
570,4864,1605,0.0049
571,4824,1621,0.0048
572,4863,1613,0.0049
573,4858,1628,0.0049
574,4813,1588,0.0048
575,4741,1595,0.0047
576,4743,1542,0.0047
577,4891,1649,0.0049
578,4784,1630,0.0048
579,4761,1586,0.0048
580,4732,1580,0.0047
581,4751,1573,0.0048
582,4742,1588,0.0047
583,4737,1565,0.0047
584,4868,1627,0.0049
585,4783,1590,0.0048
586,4747,1569,0.0047
587,4676,1530,0.0047
588,4713,1595,0.0047
589,4779,1588,0.0048
590,4683,1543,0.0047
591,4738,1575,0.0047
592,4710,1584,0.0047
593,4785,1591,0.0048
594,4651,1540,0.0047
595,4594,1547,0.0046
596,4698,1561,0.0047
597,4701,1577,0.0047
598,4631,1534,0.0046
599,4712,1548,0.0047
600,4662,1564,0.0047
